anio,cve_ent,entidad,PM10,PM2punto5,SO2,CO,NOX,COV,NH3
2005,01,Aguascalientes,5371.11,3698.43,6000.12,657084.03,30237.81,91052.46,21141.23
2005,02,Baja California,15182.24,11581.48,33042.3,3523878.38,181539.67,362535.56,14255.65
2005,03,Baja California Sur,7098.98,5318.89,23237.54,361685.43,53109.54,122790.97,3516.14
2005,04,Campeche,9436.44,7331.58,728158.63,223467.88,112188.06,1762958.51,11543.75
2005,05,Coahuila de Zaragoza,32337.54,22406.78,253815.26,621957.46,197925.23,215911.58,29824.05
2005,06,Colima,12887.14,9244.86,185497.64,335903.22,39954.77,134108.13,4945.61
2005,07,Chiapas,38376.79,28122.48,18957.13,510861.89,141102.02,1577392.58,48551.87
2005,08,Chihuahua,25480.41,14678.1,79043.41,2005178.28,207849.09,592972.54,33654.61
2005,09,Distrito Federal/Ciudad de Mexico,6239.25,3933.74,3327.44,1250648.89,218152.82,266337.89,22102.04
2005,10,Durango,21658.01,15396.82,52081.4,642374.79,71062.2,155244.49,26002.01
2005,11,Guanajuato,42814.63,32104.96,83470.19,1610479.72,140472.59,339471.18,49164.31
2005,12,Guerrero,20393.83,15143.47,118771.64,710252.58,130554.35,1318460.13,38877.95
2005,13,Hidalgo,30510.17,22493.27,283537.66,523672.6,84781.93,208816.53,28195.61
2005,14,Jalisco,47024.21,33042.26,39965.57,5354506.18,227319.77,713690.44,121863.65
2005,15,Mexico,37512.24,28046.33,41300.41,4455900.26,274243.98,604911.56,57879.5
2005,16,Michoacan de Ocampo,33499.11,24472.6,96107.31,4023717.59,178232.38,1022076,48937.92
2005,17,Morelos,9474.49,7449.85,13226.8,682672.84,39182.29,123340.77,14380.4
2005,18,Nayarit,12207.74,9413.19,1730.48,417911.26,47124.04,314658.61,15154.97
2005,19,Nuevo Leon,26219.64,17744.32,63827.51,3913041.46,299813.85,555998.04,30450.02
2005,20,Oaxaca,37607.19,28003.32,108235,499075.77,120830.76,1106144.25,40592.4
2005,21,Puebla,28209.14,22037.23,23419.11,1102952.41,185321.02,416879.4,56131.7
2005,22,Queretaro Arteaga,8332.78,6738.93,13823.41,238248.73,41381.54,86522.63,16161.02
2005,23,Quintana Roo,9592.66,7647.3,2780.52,394088.69,47154.8,1667919.94,6412.7
2005,24,San Luis Potosi,29342.44,21930.03,89747.94,766905.91,131687.41,342811.93,27356.47
2005,25,Sinaloa,35725.92,23638.46,106776.3,691017.33,145451.93,807340.96,33759.08
2005,26,Sonora,41548.74,28745.39,110369.2,586645.51,186562.36,728345.5,33483
2005,27,Tabasco,17803.98,15194.79,23922.7,618356.27,193364.25,317704.38,17969.8
2005,28,Tamaulipas,35093.93,22606.27,135206.28,1674962.85,275731.67,716544.3,21521.43
2005,29,Tlaxcala,6180.89,4202.34,5118.36,378127.79,21098.48,53126.14,9912.82
2005,30,Veracruz de Ignacio de la Llave,94492.99,81624.49,307046.67,1447992.13,344977.6,870347.15,73914.98
2005,31,Yucatan,15955.09,9339.58,47742.71,696295.63,75207.19,1315901.3,15402.07
2005,32,Zacatecas,17629.66,10848.68,2365.24,1055125.2,93721.57,260566.8,24249.37
