nra,contador_comb
PEP100501812,3
PEP100707417,3
AME2604200008,3
PEP10301311G,2
AER5V1505111,2
TGN192403711,2
PREMH3019311,2
WMP5Q2201111,2
CDE8A0901611,2
PEP102803218,2
IJD8C0502711,2
PASLX2700411,2
EANEE1512111,2
MOFK90400312,2
NMEAE2601311,2
MMA143205611,2
PEP100706212,2
CFEAD1001211,2
UMEND1900611,2
LTM5Y1512111,2
DMC7T2903911,2
PEP102700617,2
MOFK90400314,2
PMIUA3105011,2
GOPAY2201611,2
AUT1902600005,2
CFEAD2601711,2
PEP100501311,2
SIT8A2902211,2
DDM0400300043,2
PGPM90803712,2
CIC742300811,2
PEP103013118,2
DQU5W1512111,2
CME5J1102811,2
PEP100400211,2
HNAMC1100511,2
PEP2701400048,2
NCS100400311,2
PMETW0400311,2
CME1X1104411,2
OCI2700400001,2
ZME5S1407011,2
CFEAD2606111,2
PREM91700611,2
PREM91412011,2
VRALJ1306911,2
MTEKE0900211,2
BMU2P0502211,2
TIS7T2402811,2
AARKE1901911,2
RMCMB1512111,2
OXA8A1505711,2
GCMBJ300861E,2
PEP10270082H,2
PEP1027002AC,2
PEP103002811,2
SAMLJ0101111,2
BMUBT0801911,2
PAS9M2803211,2
PREN83011514,2
PEP103018112,2
CRO691300312,2
BMUB31903911,2
PEP103013114,2
CNL5E2201111,2
TME9M2201411,2
CFEAD1000714,2
EDMK92700311,2
PEP10270141K,2
CME9I0502711,2
MPAND1512111,2
EMCZU1901211,2
RBE8V0803716,2
IPCMG3018911,2
CMER30802011,2
MISUA3003911,2
GMB121001911,2
PEP10280321N,2
PRO361512111,2
AEEBU0900712,2
IPAMC3004411,2
FAI9K0502711,2
PEPM93017411,2
APAKE1901911,2
IMA7Q1512111,2
TMEMD1900611,2
CME2701400018,2
GBW5Y0900711,2
IDPBB1900911,2
PRE671307612,2
UME9M0100111,2
PEP100400214,2
GSP0400300053,2
ANJ5P1409711,2
BFO8L1512111,2
BMS5T0900311,2
CEIM03004811,2
PEP102700612,2
SMSLU2700411,2
SFA521512111,2
KOB7N1900111,2
MEX9M1901211,2
TME1F1512111,2
PEA7J0900211,2
MME5Q0502711,2
PEP102700218,2
P&GZU1512111,2
LCM9L0900711,2
CRY5K1104411,2
DDM0400300024,2
CIN6T0503011,2
PYT7J0501011,2
PFR5Q1512112,2
IAI0500400004,2
PEP102700818,2
PREM93008511,2
CCO7Q1512111,2
FCH742800411,2
CIT2M3010211,2
EME7S1904611,2
PEP3005400002,2
PEPM92803811,2
MAL231512111,2
MAG5I0502311,2
FMO9G1512111,2
CFEAD2300521,2
PEPR93002811,2
PEP100704811,2
PEP100400213,2
FMA910100511,2
BDM5T1512111,2
