estado	mun	mod
Aguascalientes	Jesus Maria	Jesús María
Aguascalientes	Rincon de Romos	Rincón de Romos
Aguascalientes	Tepezala	Tepezalá
Baja California Sur	Comondu	Comondú
Baja California Sur	Mulege	Mulegé
Campeche	Champoton	Champotón
Campeche	Escarcega	Escárcega
Coahuila de Zaragoza	Muzquiz	Múzquiz
Colima	Coquimatlan	Coquimatlán
Colima	Villa de Alvarez	Villa de Álvarez
Chiapas	Benemerito de las Americas	Benemérito de las Américas
Chiapas	Juarez	Juárez
Chiapas	Ostuacan	Ostuacán
Chiapas	Tuxtla Gutierrez	Tuxtla Gutiérrez
Chiapas	Chicoasen	Chicoasén
Chiapas	San Cristobal de las Casas	San Cristóbal de las Casas
Chiapas	Soyalo	Soyaló
Chiapas	Tecpatan	Tecpatán
Chihuahua	Aquiles Serdan	Aquiles Serdán
Chihuahua	Ascension	Ascensión
Chihuahua	Chinipas	Chínipas
Chihuahua	Cuauhtemoc	Cuauhtémoc
Chihuahua	Juarez	Juárez
Chihuahua	Satevo	Satevó
Chihuahua	Jimenez	Jiménez
Ciudad de México	Benito Juarez	Benito Juárez
Ciudad de México	Coyoacan	Coyoacán
Ciudad de México	Alvaro Obregon	Álvaro Obregón
Ciudad de México	Tlahuac	Tláhuac
Ciudad de México	Cuauhtemoc	Cuauhtémoc
Coahuila de Zaragoza	Acuna	Acuña
Coahuila de Zaragoza	Castanos	Castaños
Coahuila de Zaragoza	Cuatrocienegas	Cuatro Ciénegas
Coahuila de Zaragoza	Torreon	Torreón
Colima	Cuauhtemoc	Cuauhtémoc
Colima	Ixtlahuacan	Ixtlahuacán
Colima	Minatitlan	Minatitlán
Colima	Tecoman	Tecomán
Durango	Cuencame	Cuencamé
Durango	Guanacevi	Guanaceví
Durango	Mapimi	Mapimí
Durango	Otaez	Otáez
Durango	San Juan del Rio	San Juan del Río
Durango	Gomez Palacio	Gómez Palacio
Durango	Inde	Indé
Durango	Panuco de Coronado	Pánuco de Coronado
Guanajuato	Leon	León
Guanajuato	Purisima del Rincon	Purísima del Rincón
Guanajuato	San Francisco del Rincon	San Francisco del Rincón
Guanajuato	San Jose Iturbide	San José Iturbide
Guanajuato	Silao	Silao de la Victoria
Guanajuato	Villagran	Villagrán
Guanajuato	Allende	San Miguel de Allende
Guanajuato	Penjamo	Pénjamo
Guerrero	Acapulco de Juarez	Acapulco de Juárez
Guerrero	La Union de Isidoro Montes de Oca	La Unión de Isidoro Montes de Oca
Guerrero	Cutzamala de Pinzon	Cutzamala de Pinzón
Guerrero	Taxco de Alarcon	Taxco de Alarcón
Hidalgo	Progreso de Obregon	Progreso de Obregón
Hidalgo	Tepeji del Rio de Ocampo	Tepeji del Río de Ocampo
Hidalgo	Xochicoatlan	Xochicoatlán
Hidalgo	Acatlan	Acatlán
Hidalgo	Nopala de Villagran	Nopala de Villagrán
Hidalgo	San Agustin Tlaxiaca	San Agustín Tlaxiaca
Hidalgo	Zimapan	Zimapán
Jalisco	Acatlan de Juarez	Acatlán de Juárez
Jalisco	Amatitan	Amatitán
Jalisco	Autlan de Navarro	Autlán de Navarro
Jalisco	Ixtlahuacan de los Membrillos	Ixtlahuacán de los Membrillos
Jalisco	Jilotlan de los Dolores	Jilotlán de los Dolores
Jalisco	Ocotlan	Ocotlán
Jalisco	Poncitlan	Poncitlán
Jalisco	San Sebastian del Oeste	San Sebastián del Oeste
Jalisco	Tecolotlan	Tecolotlán
Jalisco	Tepatitlan de Morelos	Tepatitlán de Morelos
Jalisco	Tlajomulco de Zuniga	Tlajomulco de Zúñiga
Jalisco	Toliman	Tolimán
Jalisco	Ayotlan	Ayotlán
Jalisco	Bolanos	Bolaños
Jalisco	EL Arenal	El Arenal
Jalisco	San Martin de Bolanos	San Martín de Bolaños
Jalisco	Teocuitatlan de Corona	Teocuitatlán de Corona
Jalisco	Tlaquepaque	San Pedro Tlaquepaque
Jalisco	Tonala	Tonalá
Jalisco	Tototlan	Tototlán
Jalisco	Zapotlan el Grande	Zapotlán el Grande
Michoacán de Ocampo	Apatzingan	Apatzingán
Michoacán de Ocampo	Coalcoman de Vazquez Pallares	Coalcomán de Vázquez Pallares
Michoacán de Ocampo	Tacambaro	Tacámbaro
Michoacán de Ocampo	Zitacuaro	Zitácuaro
Michoacán de Ocampo	Lazaro Cardenas	Lázaro Cárdenas
Michoacán de Ocampo	Purepero	Purépero
Michoacán de Ocampo	Tarimbaro	Tarímbaro
Michoacán de Ocampo	Yurecuaro	Yurécuaro
México	Acambay	Acambay de Ruíz Castañeda
México	Chimalhuacan	Chimalhuacán
México	Nicolas Romero	Nicolás Romero
México	Xonacatlan	Xonacatlán
México	Almoloya de Juarez	Almoloya de Juárez
México	Atizapan	Atizapán de Zaragoza
México	Atizapan de Zaragoza	Atizapán de Zaragoza
México	Coacalco de Berriozabal	Coacalco de Berriozábal
México	Cuautitlan	Cuautitlán
México	Cuautitlan Izcalli	Cuautitlán Izcalli
México	Jocotitlan	Jocotitlán
México	Naucalpan de Juarez	Naucalpan de Juárez
México	Nezahualcoyotl	Nezahualcóyotl
México	San Martin de las Piramides	San Martín de las Pirámides
México	Soyaniquilpan de Juarez	Soyaniquilpan de Juárez
México	Tecamac	Tecámac
México	Teotihuacan	Teotihuacán
México	Tepotzotlan	Tepotzotlán
México	Tultitlan	Tultitlán
Morelos	Tlaltizapan	Tlaltizapán de Zapata
Morelos	Zacatepec de Hidalgo	Zacatepec
Nayarit	Bahia de Banderas	Bahía de Banderas
Nayarit	Santa Maria del Oro	Santa María del Oro
Nuevo León	Cadereyta Jimenez	Cadereyta Jiménez
Nuevo León	Cienega de Flores	Ciénega de Flores
Nuevo León	Gral.  Escobedo	General Escobedo
Nuevo León	Gral.  Zuazua	General Zuazua
Nuevo León	Gral. Bravo	General Bravo
Nuevo León	Gral. Escobedo	General Escobedo
Nuevo León	Juarez	Juárez
Nuevo León	San Nicolas de los Garza	San Nicolás de los Garza
Nuevo León	Anahuac	Anáhuac
Nuevo León	Carmen	El Carmen
Nuevo León	Dr. Arroyo	Doctor Arroyo
Nuevo León	Dr. Gonzalez	Doctor González
Nuevo León	Garcia	García
Nuevo León	Pesqueria	Pesquería
Nuevo León	San Pedro Garza Garcia	San Pedro Garza García
Oaxaca	Juchitan de Zaragoza	Juchitán de Zaragoza
Oaxaca	San Pedro Totolapa	San Pedro Totolápam
Oaxaca	Santa Cruz Xoxocotlan	Santa Cruz Xoxocotlán
Oaxaca	Santa Maria Huatulco	Santa María Huatulco
Oaxaca	Santa Maria del Tule	Santa María del Tule
Puebla	Cuautinchan	Cuautinchán
Puebla	Izucar de Matamoros	Izúcar de Matamoros
Puebla	San Andres Cholula	San Andrés Cholula
Puebla	San Jose Chiapa	San José Chiapa
Puebla	San Martin Texmelucan	San Martín Texmelucan
Puebla	Santiago Miahuatlan	Santiago Miahuatlán
Puebla	Tehuacan	Tehuacán
Puebla	Tepanco de Lopez	Tepanco de López
Puebla	Teziutlan	Teziutlán
Puebla	Tlacotepec de Benito Juarez	Tlacotepec de Benito Juárez
Oaxaca	Acatlan de Perez Figueroa	Acatlán de Pérez Figueroa
Oaxaca	Oaxaca de Juarez	Oaxaca de Juárez
Querétaro	Colon	Colón
Querétaro	El Marques	El Marqués
Querétaro	Queretaro	Querétaro
Querétaro	San Juan del Rio	San Juan del Río
Querétaro	San Joaquin	San Joaquín
Querétaro	Toliman	Tolimán
Quintana Roo	Benito Juarez	Benito Juárez
Quintana Roo	Lazaro Cardenas	Lázaro Cárdenas
Quintana Roo	Othon P. Blanco	Othón P. Blanco
San Luis Potosí	San Luis Potosi	San Luis Potosí
San Luis Potosí	Soledad de Graciano Sanchez	Soledad de Graciano Sánchez
San Luis Potosí	Huehuetlan	Huehuetlán
San Luis Potosí	Tamuin	Tamuín
Sinaloa	Culiacan	Culiacán
Sinaloa	Mazatlan	Mazatlán
Sinaloa	Cosala	Cosalá
Sonora	Banamichi	Banámichi
Sonora	Puerto Penasco	Puerto Peñasco
Sonora	San Luis Rio Colorado	San Luis Río Colorado
Sonora	Yecora	Yécora
Sonora	Nacozari de Garcia	Nacozari de García
Tabasco	Cunduacan	Cunduacán
Tabasco	Jalpa de Mendez	Jalpa de Méndez
Tabasco	Cardenas	Cárdenas
Tabasco	Paraiso	Paraíso
Tamaulipas	Miguel Aleman	Miguel Alemán
Tamaulipas	Xicotencatl	Xicoténcatl
Tamaulipas	Rio Bravo	Río Bravo
Tlaxcala	Mazatecochco de Jose Maria Morelos	Mazatecochco de José María Morelos
Tlaxcala	Papalotla de Xicohtencatl	Papalotla de Xicohténcatl
Tlaxcala	Yauhquemecan	Yauhquemehcan
Tlaxcala	Apetatitlan de Antonio Carvajal	Apetatitlán de Antonio Carvajal
Tlaxcala	Nativitas	Natívitas
Tlaxcala	Zitlaltepec de Trinidad Sanchez Santos	Ziltlaltépec de Trinidad Sánchez Santos
Tlaxcala	ZITLALTEPEC	Ziltlaltépec de Trinidad Sánchez Santos
Tlaxcala	Zitlaltépec	Ziltlaltépec de Trinidad Sánchez Santos
Veracruz de Ignacio de la Llave	Alto Lucero de Gutierrez Barrios	Alto Lucero de Gutiérrez Barrios
Veracruz de Ignacio de la Llave	Amatitlan	Amatitlán
Veracruz de Ignacio de la Llave	Amatlan de los Reyes	Amatlán de los Reyes
Veracruz de Ignacio de la Llave	Boca del Rio	Boca del Río
Veracruz de Ignacio de la Llave	Fortin	Fortín
Veracruz de Ignacio de la Llave	Ixhuatlan del Sureste	Ixhuatlán del Sureste
Veracruz de Ignacio de la Llave	Ixtaczoquitlan	Ixtaczoquitlán
Veracruz de Ignacio de la Llave	Jaltipan	Jáltipan
Veracruz de Ignacio de la Llave	Martinez de la Torre	Martínez de la Torre
Veracruz de Ignacio de la Llave	Medellin	Medellín
Veracruz de Ignacio de la Llave	Minatitlan	Minatitlán
Veracruz de Ignacio de la Llave	Moloacan	Moloacán
Veracruz de Ignacio de la Llave	Nanchital de Lazaro Cardenas del Rio	Nanchital de Lázaro Cárdenas del Río
Veracruz de Ignacio de la Llave	Rio Blanco	Río Blanco
Veracruz de Ignacio de la Llave	San Andres Tuxtla	San Andrés Tuxtla
Veracruz de Ignacio de la Llave	Tihuatlan	Tihuatlán
Veracruz de Ignacio de la Llave	Tuxpam	Tuxpan
Veracruz de Ignacio de la Llave	Cordoba	Córdoba
Veracruz de Ignacio de la Llave	Cuitlahuac	Cuitláhuac
Veracruz de Ignacio de la Llave	Hidalgotitlan	Hidalgotitlán
Veracruz de Ignacio de la Llave	Medellín	Medellín de Bravo
Veracruz de Ignacio de la Llave	Panuco	Pánuco
Veracruz de Ignacio de la Llave	Temapache	Álamo Temapache
Veracruz de Ignacio de la Llave	Ursulo Galvan	Ursulo Galván
Yucatán	Abala	Abalá
Yucatán	Cacalchen	Cacalchén
Yucatán	Hocaba	Hocabá
Yucatán	Hoctun	Hoctún
Yucatán	Hunucma	Hunucmá
Yucatán	Kanasin	Kanasín
Yucatán	Kopoma	Kopomá
Yucatán	Maxcanu	Maxcanú
Yucatán	Opichen	Opichén
Yucatán	Tekanto	Tekantó
Yucatán	Tepakan	Tepakán
Yucatán	Tixpehual	Tixpéhual
Yucatán	Cuzama	Cuzamá
Yucatán	Merida	Mérida
Yucatán	Seye	Seyé
Yucatán	Tizimin	Tizimín
Yucatán	Uman	Umán
Zacatecas	Nochistlan de Mejia	Nochistlán de Mejía
Zacatecas	Concepcion del Oro	Concepción del Oro
Zacatecas	General Panfilo Natera	General Pánfilo Natera
Zacatecas	Noria de angeles	Noria de Ángeles
